"","mean","ll","ul","sd"
"1",0.370258922627534,0.188718330285924,0.528313338931335,0.0855287252008158
"2",0.373472793424349,0.196437065062897,0.528475633134257,0.0833867199446591
"3",0.480153263329812,0.342293538280939,0.672709938405003,0.0853582350752167
"4",0.480097807572129,0.342311263347437,0.672523615936213,0.0853031902939925
"5",0.438998927111753,0.110422154547269,0.827399039175015,0.170918658606249
"6",0.431471521370709,0.139205142482116,0.775440837682409,0.150541950315332
"7",0.41445237569641,0.174796404979348,0.679326182533445,0.121433803684993
"8",0.433094397868798,0.111456979415548,0.814984042808567,0.167373642647974
"9",0.392225711458625,0.175346978158451,0.612173716777079,0.106874072041395
"10",0.398751798018282,0.217788544740609,0.580518820852032,0.088999606342575
"11",0.429688329682555,0.205491163760687,0.691333129830176,0.114880514331615
"12",0.418591762797654,0.0886010461104471,0.824368139703857,0.174964355371913
"13",0.350954933382377,0.0697649375858253,0.649478718021991,0.146351033433717
"14",0.598945574388324,0.356957506894042,0.879105076697725,0.14996920439254
"15",0.445238214194448,0.140736309683903,0.802328228263312,0.156985348359832
"16",0.453583283581854,0.116662429412697,0.841212229396744,0.172053936030331
"17",0.421191589192041,0.144875778641703,0.743356960039522,0.141690082814642
"18",0.419248367562777,0.235820015347498,0.61617754210601,0.089865117487396
"19",0.450139104712717,0.30861883545234,0.633862420921462,0.0815051491193949
"20",0.385801105951646,0.175536155435115,0.609639880954358,0.107270590743275
"21",0.420970651908246,0.164102265928419,0.719007427218681,0.130829980704663
"22",0.423088640042327,0.137281454158269,0.763159962208516,0.148103195521748
"23",0.397717733652866,0.221004635897464,0.575160299586392,0.0866007121550357
"24",0.422912191734194,0.10665991540733,0.810067019219985,0.167046565236829
"25",0.418780000826271,0.177450113970383,0.694424157361966,0.121961105860172
"26",0.42897738293171,0.0690663279870923,0.877818426018551,0.194642206054661
"27",0.419849012734089,0.268922332343669,0.586807311404245,0.078164602510301
"28",0.428217305182371,0.0610697331807008,0.890681688588385,0.199883126977705
"29",0.432000772512658,0.213678657527393,0.693098038616278,0.114722672607735
"30",0.406717483831061,0.245130098828641,0.573691009787085,0.0803366677617343
"31",0.433012088316599,0.226339793805898,0.679587024362764,0.109595904958253
"32",0.428154556606118,0.095141635159402,0.837072294785775,0.176871633627553
"33",0.423098446796968,0.142521551172543,0.756775550870272,0.145281112937251
"34",0.422751596941012,0.139099004224148,0.760244227960618,0.146954762743724
"35",0.424429130841253,0.103370268621492,0.818084508612905,0.169998203560026
"36",0.423423765970515,0.126040527831678,0.781085410065515,0.155310462394311
"37",0.296890867725537,0.0993027153378186,0.501397060477311,0.109466371609799
"38",0.307232152718221,0.129986437542255,0.483811222344838,0.0957580853592609
"39",0.318777840954951,0.135357685610251,0.487699539937814,0.0936079707563666
"40",0.330327959864262,0.144771135128444,0.507115373283291,0.0947539183301687
"41",0.319436002436251,0.138330722217308,0.494589736543824,0.0947761529658286
"42",0.302954601500234,0.122733366639831,0.484125412685615,0.0982334164026025
"43",0.329020001823634,0.155372333219427,0.492786675348024,0.0887699221238772
"44",0.335895562754389,0.122899356435218,0.548054580728671,0.108349791142724
"45",0.297960232071631,0.10227473164529,0.49967465375438,0.108121169232393
"46",0.303593839762542,0.123952293909447,0.483738211896405,0.0977338171807375
"47",0.327662190617311,0.143555335026154,0.503382283950107,0.0945204002173973
"48",0.322436097037869,0.148520066064858,0.488632359773854,0.0903418572291709
"49",0.34083830344417,0.121691548957856,0.558195236753855,0.110309331087442
"50",0.346297732311314,0.091988042781334,0.621507366030803,0.131471870912867
"51",0.352723810602515,0.11315776680613,0.598500018643253,0.120166961067268
"52",0.331680237991848,0.15493025497806,0.496201195123884,0.0893741519344183
"53",0.33170746543833,0.125240316499241,0.533934867683735,0.105297039378406
"54",0.348803296630833,0.152297341104538,0.53477361402417,0.0967583306026893
"55",0.324136398791978,0.143801288828536,0.496516371186923,0.0932661512900076
"56",0.298424763413978,0.105113203340473,0.49684926459859,0.106617225528858
"57",0.35461196296379,0.1122422397391,0.616007399512858,0.123751415468051
"58",0.343933885965274,0.151505585110992,0.526682636324232,0.0958269442529062
"59",0.337537238265127,0.152164419015529,0.511373730851892,0.0929742410016107
"60",0.379398543491044,0.122342347155423,0.674132993455389,0.132855747184216
"61",0.353369687248388,0.114473420264574,0.604913087503021,0.12099668235668
"62",0.343249413422331,0.150708810181399,0.52655843052251,0.0960830406370616
"63",0.334617642550099,0.154967801099562,0.501396604652267,0.090259853092637
"64",0.324361772376754,0.148267090721724,0.491883291006384,0.0909673321328366
"65",0.340846514821025,0.146167985260239,0.528871404416566,0.0980136900453164
"66",0.428437802699706,0.0593919792341459,0.893501573661279,0.202212682139228
"67",0.425753068515004,0.110800668165203,0.807852735536192,0.166136974783665
"68",0.425823102474184,0.111482708001512,0.807306977758231,0.165757426300561
"69",0.421529517288598,0.184920057032259,0.691339916811479,0.118887761905727
"70",0.421379905051831,0.188328538794226,0.686442099155237,0.116967599510492
"71",0.426306828186686,0.170135082132614,0.730649711146538,0.132160079901161
"72",0.424818083592821,0.128616146264671,0.780188850240729,0.154539567240878
"73",0.424542734210173,0.131895052679133,0.775331436769419,0.152495836394953
"74",0.423180428333367,0.157035395611454,0.736662429491593,0.136784961963203
"75",0.425924420885955,0.104134250794634,0.819031242388924,0.170645282159771
"76",0.428176636962186,0.0390285820978969,0.928378783933896,0.217566646675652
"77",0.424424434910725,0.130600191295981,0.776046391277372,0.152953385881548
"78",0.373777008379752,0.160014321033213,0.588540748346109,0.106285007352429
"79",0.424183838335514,0.127015790206295,0.782562893552456,0.155309219506265
"80",0.43109573051838,0.0454796908951023,0.918200046513934,0.213812933633957
"81",0.425362322553407,0.195029871769059,0.697010506499191,0.118352710122063
"82",0.426669682816491,0.0930903354853975,0.83770688749525,0.177909973574272
"83",0.450069735452966,0.30874892189574,0.633497964368226,0.0813835349989348
"84",0.426776890761978,0.212297433360824,0.683169572317658,0.111032443142068
"85",0.378174475532979,0.177941646569077,0.576761786225978,0.0987632301213784
"86",0.422827293351383,0.163062046039004,0.727893106953693,0.133242993137452
"87",0.429666272235732,0.065418858610381,0.884556149833659,0.194637474853727
"88",0.453439303352288,0.142195725766878,0.846655991978786,0.166289217402696
"89",0.422721510861829,0.103901645214296,0.816622433166968,0.168859626977348
"90",0.534013405246474,0.266235117182236,0.892031701431622,0.166645956480016
"91",0.426776662112588,0.212689585537559,0.682711338186835,0.110838524609644
"92",0.509430566722734,0.153555727878541,0.920451803636173,0.191139830467524
"93",0.505104491213314,0.287453548452341,0.801777130753932,0.134714770279146
"94",0.433614225820392,0.199388854736615,0.718500185978944,0.122809357746579
"95",0.422664448246883,0.166477532011365,0.722874807023651,0.131235764592001
"96",0.425767055529722,0.113172372857949,0.805070916087738,0.16470909265857
"97",0.419753250763074,0.0833473890882576,0.845155420588705,0.180843996055081
"98",0.444411920670177,0.306512202763109,0.620399621141444,0.0782512817149036
"99",0.370914330014995,0.186442119830947,0.557268020030506,0.0930341501881361
"100",0.499946859421522,0.107096536639611,0.958640573632176,0.212773365612543
"101",0.423429127318155,0.14763909306486,0.752154419147491,0.142741038591358
"102",0.424587965378441,0.124661636505187,0.786868459214647,0.156900067511739
"103",0.423009332290143,0.160136779740429,0.73238045180162,0.135032541656225
"104",0.371173698565028,0.218508329195306,0.517954698904187,0.0762165042923732
"105",0.371311704915802,0.21294366824405,0.520060382832267,0.0779717898416039
"106",0.423006028943887,0.15908528301305,0.73394686106571,0.135654939779749
"107",0.429075444319699,0.0683164922229354,0.878908852162258,0.196158973746924
"108",0.426496598355625,0.0996359254342863,0.827249156122561,0.173192089200152
"109",0.423875420782902,0.141971591970642,0.758850513705638,0.145856719204493
"110",0.423852615443716,0.142363631306235,0.758246957864809,0.145611250703011
"111",0.428864854314049,0.0704946625371377,0.875245351170408,0.194420057170671
"112",0.533090994439203,0.276548428134313,0.882270479450391,0.161555076663884
"113",0.425567951951585,0.0960806167164351,0.831828030602111,0.175495936023921
"114",0.423837441648447,0.121679557224313,0.790853977895321,0.158372961833144
"115",0.427711579760026,0.166624579260486,0.739690679264616,0.135224662227936
"116",0.426208107235107,0.103275126348952,0.820489006267937,0.170946966425703
"117",0.424255146182015,0.196935766779398,0.690521764993432,0.116290432849453
"118",0.422999835817049,0.160318035737974,0.732108611072504,0.13492379678109
"119",0.424186854470525,0.134359247339233,0.770137836922718,0.15057275401713
"120",0.422657786585976,0.162276933853229,0.727029029159366,0.133161597252667
"121",0.444408210119127,0.306893470643465,0.619903772444782,0.0780506489000745
